rank,station_id,depth_count,avg_missing_rate_percent,max_missing_rate_percent,min_missing_rate_percent,median_missing_rate_percent,std_missing_rate_percent,avg_non_missing_count
1,MS3627,4,0.48878151925758323,0.48878151925758323,0.48878151925758323,0.48878151925758323,0.0,194836.0
2,MS3518,4,0.5005286195114228,0.5005286195114228,0.5005286195114228,0.5005286195114228,0.0,194813.0
3,MS3614,4,3.0288365774057295,6.640686847844407,0.48878151925758323,2.4929389712604637,2.88057991862291,189862.75
4,MS3488,4,5.772295230166554,12.447840321155507,3.547113533170236,3.547113533170236,4.450363393992635,184491.25
5,MS3533,4,6.5186191539023355,15.749286235973706,0.49797490206493594,4.91360773878535,7.4296954170404925,183030.0
6,MS3523,4,7.385989284601595,24.926835995158154,0.503593080447207,2.05676403140051,11.784867318248914,181331.75
7,BC04,4,7.740317580301646,11.329312079594265,0.7778623341998947,9.42704795370621,4.738091181267313,180638.0
8,MS3603,4,8.627095963594204,13.651662725429409,0.4892922627468806,10.183714433100265,6.3342869383858185,178901.75
9,BC05,4,9.467524375233026,19.795906901676773,3.6237250565648416,7.225232771345247,7.141588906653387,177256.25
10,MSBJ,4,9.521918556843197,16.943915257440256,6.852134652413519,7.145812158759506,4.949948926158857,177149.75
11,C1,4,9.558436716327959,11.81962582931974,8.804707011997365,8.804707011997365,1.5074594086611872,177078.25
12,BC08,4,9.806147308637184,35.56409064675448,0.572543451502352,1.54397756814595,17.196369300208815,176593.25
13,MS3482,4,9.822618786167023,15.690550734704509,7.838891073736037,7.880516668113773,3.9121514815525757,176561.0
14,MS3494,4,11.02069532618633,26.562236647888334,0.5235120765298045,8.49851629016359,11.0314935433354,174215.25
15,BC02,4,13.213317125739941,24.21077362316324,8.875700357009698,9.88339726139341,7.392938237562384,169922.25
16,BC06,4,13.521806193275552,16.32387266143325,12.505554335446108,12.628898888111424,1.868949955325397,169318.25
17,MS3576,4,13.678476758617519,26.324740925365052,9.463055369701674,9.463055369701674,8.430842777831689,169011.5
18,MS3501,4,13.834381208725542,13.938189822925231,13.799778337325645,13.799778337325645,0.06920574279979312,168706.25
19,CD02,4,13.931039414075068,23.72454582135214,7.786284494338408,12.106663670304862,6.839285721108229,168517.0
20,P2,4,14.17862232051197,18.073679855766038,11.082622974263636,13.779093226009103,2.891132154846066,168032.25
21,P11,4,17.341146006241285,26.887580250570757,13.393737263334234,14.541633255530074,6.455651690972628,161840.25
22,F4,4,17.355063766324637,17.355063766324637,17.355063766324637,17.355063766324637,0.0,161813.0
23,C4,4,17.660488372924465,22.567201074604302,16.009254672026067,16.032748872533745,3.2712167964937415,161215.0
24,CD01,4,18.677889403604826,32.06856220600328,4.792306160077224,18.9253446241694,15.15679383607721,159223.0
25,MS3475,4,20.734653435005338,33.46084895782791,10.808864464000244,19.334450159096598,11.048091221316882,155196.0
26,MS3513,4,21.507025276695284,81.09687271761503,0.6205533394963048,2.155337524834902,39.734255849168036,153683.75
27,F5,4,22.320895026890643,36.32254472836107,17.60890328050543,17.676066049348037,9.33464790832101,152090.25
28,MS3633,4,22.66232704948594,25.299167998855935,21.75767264406797,21.79623377750992,1.7581348573044442,151421.75
29,CD03,4,23.272154775706998,28.77222372607805,20.04668195492178,22.13485671091408,4.039050564678607,150227.75
30,BC07,4,25.296741967281772,32.860214614414204,12.04894965601426,28.138901799349313,9.195096205098814,146263.75
31,MS3620,4,25.698569407486477,52.02892851123381,8.536055936626948,21.11464659104258,18.764043551410534,145477.0
32,F2,4,26.06145265663226,27.378404743785527,25.225110192907817,25.821147844917846,0.9789328229140545,144766.5
33,P10,4,28.6465808277109,71.45250340921278,14.377939967210269,14.377939967210269,28.537281721001253,139705.0
