depth_num,depth_cm,station_count,avg_missing_rate_percent,median_missing_rate_percent,min_missing_rate_percent,max_missing_rate_percent,stations_le_1pct,stations_le_5pct
5,5cm,56,20.97132831977796,15.208408880807792,0.48878151925758323,70.17462319899077,9,13
10,10cm,56,23.6328035220871,17.54914629225764,0.48878151925758323,92.85112338030471,7,8
20,20cm,56,29.13712258792267,24.09611170981598,0.48878151925758323,100.0,4,8
40,40cm,56,37.75794370293408,27.132992497178144,0.48878151925758323,100.0,3,5
