station_id,5cm,10cm,20cm,40cm
BC+,69.16743703809635,68.89112481038649,68.89112481038649,68.90338265412962
BC02,8.875700357009698,10.891094165777123,8.875700357009698,24.21077362316324
BC03,0.5756079124381361,0.5756079124381361,100.0,100.0
BC04,0.7778623341998947,11.329312079594265,9.815468377316861,9.03862753009556
BC05,8.256168504491988,6.194297038198505,3.6237250565648416,19.795906901676773
BC06,12.626600542409586,12.631197233813262,16.32387266143325,12.505554335446108
BC07,12.04894965601426,26.592370513756876,29.68543308494175,32.860214614414204
BC08,0.572543451502352,35.56409064675448,0.572543451502352,2.515411684789548
C1,8.804707011997365,8.804707011997365,11.81962582931974,8.804707011997365
C2,20.212162845454127,29.280413497928937,25.17352510048878,45.82543809022794
C3,26.422292931820852,26.422292931820852,38.00135857768153,60.60329020955806
C4,22.567201074604302,16.009254672026067,16.009254672026067,16.056243073041426
CD01,4.792306160077224,31.513894776626334,32.06856220600328,6.336794471712472
CD02,23.72454582135214,7.786284494338408,12.104109952858376,12.109217387751348
CD03,20.04668195492178,28.77222372607805,23.823119314786535,20.446594107041623
CD04,68.33850035496673,68.32930697215937,68.2833400581226,76.07830719177907
CD05,38.57236979871599,38.57236979871599,38.57236979871599,38.57236979871599
CD06,59.7580097347709,59.7580097347709,59.7580097347709,59.7580097347709
CD07,11.730756462181999,22.07024765951796,11.867635717313693,90.31579269943256
F1,58.67574428094978,58.67574428094978,62.554330338674,100.0
F2,26.22463520146277,25.225110192907817,25.417660488372924,27.378404743785527
F3,19.172289101244683,25.03817807582498,25.696015690039992,60.61146210538681
F4,17.355063766324637,17.355063766324637,17.355063766324637,17.355063766324637
F5,17.60890328050543,17.74322881819064,17.60890328050543,36.32254472836107
MS3475,26.468259845857617,10.808864464000244,33.46084895782791,12.200640472335579
MS3482,7.838891073736037,7.922142262491509,15.690550734704509,7.838891073736037
MS3488,12.447840321155507,3.547113533170236,3.547113533170236,3.547113533170236
MS3494,0.5235120765298045,9.059057269667454,7.937975310659727,26.562236647888334
MS3501,13.799778337325645,13.799778337325645,13.799778337325645,13.938189822925231
MS3506,43.70993855755824,23.317483260382136,43.646095621396064,21.90221305153913
MS3513,1.7927096474337694,0.6205533394963048,2.517965402236035,81.09687271761503
MS3518,0.5005286195114228,0.5005286195114228,0.5005286195114228,0.5005286195114228
MS3523,0.507679028361586,24.926835995158154,3.6058490344394336,0.503593080447207
MS3527,2.597130643077127,9.083572957153729,100.0,44.71099579658108
MS3533,0.49797490206493594,0.49797490206493594,15.749286235973706,9.329240575505764
MS3545,42.675682991731065,55.70832460813205,39.60968982547895,60.88930656356458
MS3552,38.546832624251124,38.546832624251124,38.546832624251124,38.546832624251124
MS3559,36.24593320496647,35.95634164653486,38.571859055226696,35.95634164653486
MS3576,9.463055369701674,9.463055369701674,26.324740925365052,9.463055369701674
MS3593,53.81193403237092,47.012405959355036,47.163586032187055,55.95143850903761
MS3603,0.4892922627468806,6.71576614077112,13.651662725429409,13.651662725429409
MS3614,4.045599178724469,0.9402787637964585,0.48878151925758323,6.640686847844407
MS3620,8.536055936626948,24.74807577390407,17.481217408181088,52.02892851123381
MS3627,0.48878151925758323,0.48878151925758323,0.48878151925758323,0.48878151925758323
MS3633,21.75767264406797,21.768398257343215,25.299167998855935,21.824069297676626
MSBJ,6.852134652413519,7.131000597569883,16.943915257440256,7.16062371994913
MSNQRW,8.748525228174655,0.489803006236178,52.4385447896503,100.0
P1,14.727288513889668,33.16257476007824,63.157518399534204,77.43841710377797
P10,14.377939967210269,14.377939967210269,14.377939967210269,71.45250340921278
P11,15.689529247725915,13.393737263334234,13.393737263334234,26.887580250570757
P2,18.073679855766038,11.082622974263636,13.777816367285858,13.780370084732347
P3,70.17462319899077,92.85112338030471,70.17462319899077,72.87185956597018
P5,49.8919777520136,52.39206713212423,48.17332591052795,53.59384656244095
P7,22.127450930319263,12.062228986735992,24.369104104845423,58.234461906196856
P8,31.107853702634923,33.966995755721605,46.4945120612075,80.29653766988605
P9,38.971260463857234,53.06931299893255,56.39476385774772,88.75291762218261
