station_id,depth_cm,depth_num,total_rows,missing_count,non_missing_count,missing_rate,missing_rate_percent,source_csv
P10,5cm,5,195793,28151,167642,0.14377939967210268,14.377939967210269,SM_NQ-30-minutes_05cm.csv
P11,5cm,5,195793,30719,165074,0.15689529247725914,15.689529247725915,SM_NQ-30-minutes_05cm.csv
P2,5cm,5,195793,35387,160406,0.1807367985576604,18.073679855766038,SM_NQ-30-minutes_05cm.csv
P3,5cm,5,195793,137397,58396,0.7017462319899077,70.17462319899077,SM_NQ-30-minutes_05cm.csv
P5,5cm,5,195793,97685,98108,0.49891977752013605,49.8919777520136,SM_NQ-30-minutes_05cm.csv
P7,5cm,5,195793,43324,152469,0.22127450930319265,22.127450930319263,SM_NQ-30-minutes_05cm.csv
P8,5cm,5,195793,60907,134886,0.31107853702634924,31.107853702634923,SM_NQ-30-minutes_05cm.csv
P9,5cm,5,195793,76303,119490,0.3897126046385724,38.971260463857234,SM_NQ-30-minutes_05cm.csv
BC+,10cm,10,195793,134884,60909,0.6889112481038648,68.89112481038649,SM_NQ-30-minutes_10cm.csv
BC02,10cm,10,195793,21324,174469,0.10891094165777122,10.891094165777123,SM_NQ-30-minutes_10cm.csv
BC03,10cm,10,195793,1127,194666,0.005756079124381362,0.5756079124381361,SM_NQ-30-minutes_10cm.csv
BC04,10cm,10,195793,22182,173611,0.11329312079594266,11.329312079594265,SM_NQ-30-minutes_10cm.csv
BC05,10cm,10,195793,12128,183665,0.061942970381985055,6.194297038198505,SM_NQ-30-minutes_10cm.csv
BC06,10cm,10,195793,24731,171062,0.12631197233813263,12.631197233813262,SM_NQ-30-minutes_10cm.csv
BC07,10cm,10,195793,52066,143727,0.26592370513756874,26.592370513756876,SM_NQ-30-minutes_10cm.csv
BC08,10cm,10,195793,69632,126161,0.3556409064675448,35.56409064675448,SM_NQ-30-minutes_10cm.csv
C1,10cm,10,195793,17239,178554,0.08804707011997365,8.804707011997365,SM_NQ-30-minutes_10cm.csv
C2,10cm,10,195793,57329,138464,0.29280413497928937,29.280413497928937,SM_NQ-30-minutes_10cm.csv
C3,10cm,10,195793,51733,144060,0.2642229293182085,26.422292931820852,SM_NQ-30-minutes_10cm.csv
C4,10cm,10,195793,31345,164448,0.1600925467202607,16.009254672026067,SM_NQ-30-minutes_10cm.csv
CD01,10cm,10,195793,61702,134091,0.31513894776626333,31.513894776626334,SM_NQ-30-minutes_10cm.csv
CD02,10cm,10,195793,15245,180548,0.07786284494338408,7.786284494338408,SM_NQ-30-minutes_10cm.csv
CD03,10cm,10,195793,56334,139459,0.2877222372607805,28.77222372607805,SM_NQ-30-minutes_10cm.csv
CD04,10cm,10,195793,133784,62009,0.6832930697215938,68.32930697215937,SM_NQ-30-minutes_10cm.csv
CD05,10cm,10,195793,75522,120271,0.3857236979871599,38.57236979871599,SM_NQ-30-minutes_10cm.csv
CD06,10cm,10,195793,117002,78791,0.597580097347709,59.7580097347709,SM_NQ-30-minutes_10cm.csv
CD07,10cm,10,195793,43212,152581,0.2207024765951796,22.07024765951796,SM_NQ-30-minutes_10cm.csv
F1,10cm,10,195793,114883,80910,0.5867574428094978,58.67574428094978,SM_NQ-30-minutes_10cm.csv
F2,10cm,10,195793,49389,146404,0.2522511019290782,25.225110192907817,SM_NQ-30-minutes_10cm.csv
F3,10cm,10,195793,49023,146770,0.2503817807582498,25.03817807582498,SM_NQ-30-minutes_10cm.csv
F4,10cm,10,195793,33980,161813,0.17355063766324638,17.355063766324637,SM_NQ-30-minutes_10cm.csv
F5,10cm,10,195793,34740,161053,0.1774322881819064,17.74322881819064,SM_NQ-30-minutes_10cm.csv
MS3475,10cm,10,195793,21163,174630,0.10808864464000245,10.808864464000244,SM_NQ-30-minutes_10cm.csv
MS3482,10cm,10,195793,15511,180282,0.07922142262491509,7.922142262491509,SM_NQ-30-minutes_10cm.csv
MS3488,10cm,10,195793,6945,188848,0.03547113533170236,3.547113533170236,SM_NQ-30-minutes_10cm.csv
MS3494,10cm,10,195793,17737,178056,0.09059057269667455,9.059057269667454,SM_NQ-30-minutes_10cm.csv
MS3501,10cm,10,195793,27019,168774,0.13799778337325644,13.799778337325645,SM_NQ-30-minutes_10cm.csv
MS3506,10cm,10,195793,45654,150139,0.23317483260382138,23.317483260382136,SM_NQ-30-minutes_10cm.csv
MS3513,10cm,10,195793,1215,194578,0.006205533394963048,0.6205533394963048,SM_NQ-30-minutes_10cm.csv
MS3518,10cm,10,195793,980,194813,0.005005286195114228,0.5005286195114228,SM_NQ-30-minutes_10cm.csv
MS3523,10cm,10,195793,48805,146988,0.24926835995158153,24.926835995158154,SM_NQ-30-minutes_10cm.csv
MS3527,10cm,10,195793,17785,178008,0.0908357295715373,9.083572957153729,SM_NQ-30-minutes_10cm.csv
MS3533,10cm,10,195793,975,194818,0.004979749020649359,0.49797490206493594,SM_NQ-30-minutes_10cm.csv
MS3545,10cm,10,195793,109073,86720,0.5570832460813205,55.70832460813205,SM_NQ-30-minutes_10cm.csv
MS3552,10cm,10,195793,75472,120321,0.3854683262425112,38.546832624251124,SM_NQ-30-minutes_10cm.csv
MS3559,10cm,10,195793,70400,125393,0.3595634164653486,35.95634164653486,SM_NQ-30-minutes_10cm.csv
MS3576,10cm,10,195793,18528,177265,0.09463055369701674,9.463055369701674,SM_NQ-30-minutes_10cm.csv
MS3593,10cm,10,195793,92047,103746,0.47012405959355036,47.012405959355036,SM_NQ-30-minutes_10cm.csv
MS3603,10cm,10,195793,13149,182644,0.0671576614077112,6.71576614077112,SM_NQ-30-minutes_10cm.csv
MS3614,10cm,10,195793,1841,193952,0.009402787637964585,0.9402787637964585,SM_NQ-30-minutes_10cm.csv
MS3620,10cm,10,195793,48455,147338,0.2474807577390407,24.74807577390407,SM_NQ-30-minutes_10cm.csv
MS3627,10cm,10,195793,957,194836,0.004887815192575832,0.48878151925758323,SM_NQ-30-minutes_10cm.csv
MS3633,10cm,10,195793,42621,153172,0.21768398257343213,21.768398257343215,SM_NQ-30-minutes_10cm.csv
MSBJ,10cm,10,195793,13962,181831,0.07131000597569882,7.131000597569883,SM_NQ-30-minutes_10cm.csv
