ratio,ratio_tag,seed,file_time,selected_count,test_count,holdout_station,holdout_sample_count,holdout_mae,holdout_rmse,holdout_r2,overall_mae,overall_rmse,overall_r2,split_dir,analysis_dir
0.8,r80,20260507,20260506T165059,7,1,MS3603,18624,0.0428612065510312,0.0538206430178254,0.5679006419133149,0.042861,0.053821,0.567901,/root/autodl-tmp/over/STGNP/experiments/ratio_ms3603_paper/20260506T153904/split_r80,/root/autodl-tmp/over/STGNP/checkpoints/SM/hierarchical_SM_20260506T165059/analysis
0.5,r50,20260506,20260506T153907,17,2,MS3603,18624,0.0184950982172464,0.0277134536537427,0.8854310003080198,0.018495,0.027713,0.885431,/root/autodl-tmp/over/STGNP/experiments/ratio_ms3603_paper/20260506T153904/split_r50,/root/autodl-tmp/over/STGNP/checkpoints/SM/hierarchical_SM_20260506T153907/analysis
