top_k,seed,window_hours,t_len,num_train_target,selected_count,holdout_count,selected_stations,holdout_stations,file_time,split_dir,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
2,3,4,8,1,2,33,"MS3501,P2","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260513T155228,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k02/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T155228,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T155228/analysis,0.091179,0.110493,0.203316
2,4,4,8,1,2,33,"MS3501,P2","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260513T160933,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k02/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T160933,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T160933/analysis,0.088476,0.106124,0.265074
2,5,4,8,1,2,33,"MS3501,P2","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260513T162633,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k02/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T162633,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T162633/analysis,0.085593,0.103749,0.297595
4,3,4,8,3,4,31,"MS3501,P2,MS3603,MS3620","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260513T164325,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k04/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T164325,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T164325/analysis,0.068584,0.096997,0.397119
4,4,4,8,3,4,31,"MS3501,P2,MS3603,MS3620","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260513T170046,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k04/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T170046,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T170046/analysis,0.067842,0.095496,0.415643
4,5,4,8,3,4,31,"MS3501,P2,MS3603,MS3620","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3482,MS3488,MS3494,MS3513,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260513T171837,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k04/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T171837,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T171837/analysis,0.067204,0.093659,0.437903
8,3,4,8,3,8,27,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P10,P11",20260513T173602,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k08/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T173602,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T173602/analysis,0.064961,0.087986,0.530305
8,4,4,8,3,8,27,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P10,P11",20260513T175344,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k08/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T175344,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T175344/analysis,0.064767,0.086182,0.549368
8,5,4,8,3,8,27,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P10,P11",20260513T181112,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k08/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T181112,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T181112/analysis,0.065751,0.088679,0.52288
10,3,4,8,3,10,25,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD03,CD07,F3,F4,MS3482,MS3488,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P11",20260513T182849,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260513T155225/split_k10/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T182849,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260513T182849/analysis,0.059288,0.07899,0.628604
