top_k,window_hours,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,overall_mae_std,overall_rmse_std,overall_r2_std
2,4,8,0.088416,0.10678866666666666,0.2553283333333333,0.0022808695710189162,0.002793053327254766,0.03910128705753246
4,4,8,0.06787666666666667,0.09538400000000001,0.4168883333333333,0.0005639156753353186,0.0013650321119543873,0.016673268132619417
8,4,8,0.06515966666666667,0.08761566666666666,0.5341843333333333,0.00042557046681157486,0.0010524930192431468,0.01115617785006235
10,4,8,0.05943333333333334,0.07975466666666667,0.6213643333333333,0.0002155076693659776,0.000540710848996223,0.005119313908024095
14,4,8,0.06000366666666667,0.081495,0.6052356666666666,0.0005774740013387819,0.000481055090400261,0.004669762615903413
