ratio_label,observed_count,holdout_count,strategy,seed,holdout_seed,holdout_stations,holdout_stations_str,window_hours,t_len,num_train_target,pmts_update_freq,file_time,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
5:2,25,10,tts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,4,1,20260518T191304,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T191304,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T191304/analysis,0.091066,0.118051,0.296317
5:2,25,10,mts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,4,1,20260518T192854,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T192854,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T192854/analysis,0.079987,0.108179,0.409087
5:2,25,10,pmts,20260516,20261516,"['BC02', 'BC03', 'BC04', 'BC06', 'C1', 'C2', 'CD01', 'MS3482', 'MS3501', 'MS3620']","BC02,BC03,BC04,BC06,C1,C2,CD01,MS3482,MS3501,MS3620",4,8,4,1,20260518T194926,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T194926,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T194926/analysis,0.080868,0.093104,0.562301
5:2,25,10,orig,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,3,1,20260518T200517,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T200517,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T200517/analysis,0.050024,0.072602,0.720621
5:2,25,10,tts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,4,1,20260518T202436,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T202436,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T202436/analysis,0.064355,0.082805,0.636579
5:2,25,10,mts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,4,1,20260518T204030,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T204030,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T204030/analysis,0.049673,0.072478,0.721574
5:2,25,10,pmts,20260517,20261517,"['BC03', 'BC04', 'BC05', 'BC07', 'F3', 'MS3482', 'MS3494', 'MS3523', 'MS3614', 'MS3627']","BC03,BC04,BC05,BC07,F3,MS3482,MS3494,MS3523,MS3614,MS3627",4,8,4,1,20260518T210000,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T210000,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T210000/analysis,0.061308,0.07773,0.679758
5:2,25,10,orig,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,3,1,20260518T211648,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T211648,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T211648/analysis,0.06909,0.094066,0.570402
5:2,25,10,tts,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,4,1,20260518T213707,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T213707,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T213707/analysis,0.065883,0.090877,0.599043
5:2,25,10,mts,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,4,1,20260518T215315,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T215315,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T215315/analysis,0.066354,0.090257,0.604489
5:2,25,10,pmts,20260518,20261518,"['BC04', 'BC08', 'CD01', 'CD07', 'F3', 'MS3482', 'MS3494', 'MS3513', 'MS3603', 'P10']","BC04,BC08,CD01,CD07,F3,MS3482,MS3494,MS3513,MS3603,P10",4,8,4,1,20260518T221245,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T221245,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T221245/analysis,0.055768,0.075391,0.724046
5:2,25,10,orig,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,3,1,20260518T222916,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T222916,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T222916/analysis,0.046301,0.056863,0.724639
5:2,25,10,tts,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,4,1,20260518T224857,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T224857,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T224857/analysis,0.045873,0.057287,0.720512
5:2,25,10,mts,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,4,1,20260518T230429,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T230429,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T230429/analysis,0.045547,0.055677,0.736008
5:2,25,10,pmts,20260519,20261519,"['BC04', 'BC06', 'C1', 'CD03', 'CD07', 'F4', 'MS3488', 'MS3614', 'MS3620', 'P11']","BC04,BC06,C1,CD03,CD07,F4,MS3488,MS3614,MS3620,P11",4,8,4,1,20260518T232336,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T232336,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T232336/analysis,0.045389,0.057205,0.721319
6:1,30,5,orig,20260515,20262515,"['BC08', 'MS3488', 'MS3513', 'MS3518', 'MS3620']","BC08,MS3488,MS3513,MS3518,MS3620",4,8,3,1,20260518T233839,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T233839,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T233839/analysis,0.043319,0.056849,0.684462
6:1,30,5,tts,20260515,20262515,"['BC08', 'MS3488', 'MS3513', 'MS3518', 'MS3620']","BC08,MS3488,MS3513,MS3518,MS3620",4,8,4,1,20260518T235753,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T235753,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T235753/analysis,0.069946,0.081249,0.355486
6:1,30,5,mts,20260515,20262515,"['BC08', 'MS3488', 'MS3513', 'MS3518', 'MS3620']","BC08,MS3488,MS3513,MS3518,MS3620",4,8,4,1,20260519T001351,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T001351,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T001351/analysis,0.04273,0.056745,0.685626
6:1,30,5,pmts,20260515,20262515,"['BC08', 'MS3488', 'MS3513', 'MS3518', 'MS3620']","BC08,MS3488,MS3513,MS3518,MS3620",4,8,4,1,20260519T003334,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T003334,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T003334/analysis,0.035891,0.047753,0.777363
6:1,30,5,orig,20260516,20262516,"['BC03', 'MS3494', 'MS3620', 'MSBJ', 'MSNQRW']","BC03,MS3494,MS3620,MSBJ,MSNQRW",4,8,3,1,20260519T005002,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T005002,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T005002/analysis,0.034231,0.052033,0.802954
6:1,30,5,tts,20260516,20262516,"['BC03', 'MS3494', 'MS3620', 'MSBJ', 'MSNQRW']","BC03,MS3494,MS3620,MSBJ,MSNQRW",4,8,4,1,20260519T011003,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T011003,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T011003/analysis,0.054953,0.068112,0.66236
6:1,30,5,mts,20260516,20262516,"['BC03', 'MS3494', 'MS3620', 'MSBJ', 'MSNQRW']","BC03,MS3494,MS3620,MSBJ,MSNQRW",4,8,4,1,20260519T012614,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T012614,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T012614/analysis,0.032217,0.045876,0.846824
6:1,30,5,pmts,20260516,20262516,"['BC03', 'MS3494', 'MS3620', 'MSBJ', 'MSNQRW']","BC03,MS3494,MS3620,MSBJ,MSNQRW",4,8,4,1,20260519T014641,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T014641,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T014641/analysis,0.039056,0.049318,0.822982
6:1,30,5,orig,20260517,20262517,"['BC07', 'F5', 'MS3501', 'MS3518', 'P2']","BC07,F5,MS3501,MS3518,P2",4,8,3,1,20260519T020257,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T020257,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T020257/analysis,0.030927,0.036206,0.890789
6:1,30,5,tts,20260517,20262517,"['BC07', 'F5', 'MS3501', 'MS3518', 'P2']","BC07,F5,MS3501,MS3518,P2",4,8,4,1,20260519T022250,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T022250,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T022250/analysis,0.03779,0.048749,0.802012
6:1,30,5,mts,20260517,20262517,"['BC07', 'F5', 'MS3501', 'MS3518', 'P2']","BC07,F5,MS3501,MS3518,P2",4,8,4,1,20260519T023838,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T023838,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T023838/analysis,0.030158,0.036439,0.889375
6:1,30,5,pmts,20260517,20262517,"['BC07', 'F5', 'MS3501', 'MS3518', 'P2']","BC07,F5,MS3501,MS3518,P2",4,8,4,1,20260519T025846,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T025846,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T025846/analysis,0.032426,0.04296,0.846244
6:1,30,5,orig,20260518,20262518,"['BC06', 'C2', 'MS3513', 'MS3527', 'P11']","BC06,C2,MS3513,MS3527,P11",4,8,3,1,20260519T031601,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T031601,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T031601/analysis,0.043037,0.055849,0.725305
6:1,30,5,tts,20260518,20262518,"['BC06', 'C2', 'MS3513', 'MS3527', 'P11']","BC06,C2,MS3513,MS3527,P11",4,8,4,1,20260519T033615,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T033615,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T033615/analysis,0.048229,0.062303,0.658153
6:1,30,5,mts,20260518,20262518,"['BC06', 'C2', 'MS3513', 'MS3527', 'P11']","BC06,C2,MS3513,MS3527,P11",4,8,4,1,20260519T035200,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T035200,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T035200/analysis,0.044198,0.056891,0.714955
6:1,30,5,pmts,20260518,20262518,"['BC06', 'C2', 'MS3513', 'MS3527', 'P11']","BC06,C2,MS3513,MS3527,P11",4,8,4,1,20260519T041121,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T041121,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T041121/analysis,0.043011,0.056636,0.71751
6:1,30,5,orig,20260519,20262519,"['BC02', 'BC08', 'MS3488', 'MS3576', 'P1']","BC02,BC08,MS3488,MS3576,P1",4,8,3,1,20260519T042647,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T042647,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T042647/analysis,0.080433,0.097861,0.376633
6:1,30,5,tts,20260519,20262519,"['BC02', 'BC08', 'MS3488', 'MS3576', 'P1']","BC02,BC08,MS3488,MS3576,P1",4,8,4,1,20260519T044556,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T044556,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T044556/analysis,0.074724,0.0973,0.383758
6:1,30,5,mts,20260519,20262519,"['BC02', 'BC08', 'MS3488', 'MS3576', 'P1']","BC02,BC08,MS3488,MS3576,P1",4,8,4,1,20260519T050038,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T050038,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T050038/analysis,0.079688,0.095551,0.405713
6:1,30,5,pmts,20260519,20262519,"['BC02', 'BC08', 'MS3488', 'MS3576', 'P1']","BC02,BC08,MS3488,MS3576,P1",4,8,4,1,20260519T051920,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T051920,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T051920/analysis,0.077637,0.092478,0.44333
