strategy,sensor_ratio,n_obs,seed,mae,rmse,r2,run_path
orig,2:5,10,20260519,0.06386,0.083993,0.477288,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T050819/analysis
tts,2:5,10,20260519,0.061595,0.081021,0.513627,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T052753/analysis
mts,2:5,10,20260519,0.059844,0.076936,0.561429,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T054403/analysis
pmts,2:5,10,20260519,0.06415,0.082058,0.50109,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T060407/analysis
orig,3:4,15,20260515,0.062364,0.079523,0.619873,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T061948/analysis
tts,3:4,15,20260515,0.071452,0.086633,0.54886,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T063941/analysis
mts,3:4,15,20260515,0.063057,0.081712,0.598657,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T065513/analysis
pmts,3:4,15,20260515,0.060114,0.078608,0.628568,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T071511/analysis
orig,3:4,15,20260516,0.051165,0.067181,0.687579,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T073053/analysis
tts,3:4,15,20260516,0.06894,0.083251,0.520238,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T075121/analysis
mts,3:4,15,20260516,0.04982,0.066098,0.697571,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T080851/analysis
pmts,3:4,15,20260516,0.05394,0.074699,0.613745,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T082948/analysis
orig,3:4,15,20260517,0.055244,0.069243,0.600288,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T084741/analysis
tts,3:4,15,20260517,0.080807,0.110523,-0.01836,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T090819/analysis
mts,3:4,15,20260517,0.051753,0.064877,0.649102,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T092450/analysis
pmts,3:4,15,20260517,0.04621,0.058166,0.717945,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T094447/analysis
orig,3:4,15,20260518,0.048464,0.064095,0.708416,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T100051/analysis
tts,3:4,15,20260518,0.058807,0.074748,0.603434,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T102056/analysis
mts,3:4,15,20260518,0.049021,0.065114,0.699069,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T103644/analysis
pmts,3:4,15,20260518,0.053049,0.065723,0.693414,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T105645/analysis
orig,3:4,15,20260519,0.055623,0.0759,0.640894,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T111236/analysis
tts,3:4,15,20260519,0.066912,0.094735,0.440551,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T113339/analysis
mts,3:4,15,20260519,0.059734,0.080825,0.592778,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T114951/analysis
pmts,3:4,15,20260519,0.059737,0.080013,0.600913,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T120915/analysis
orig,4:3,20,20260515,0.054612,0.071419,0.626712,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T122447/analysis
tts,4:3,20,20260515,0.052574,0.066177,0.6795,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T124435/analysis
mts,4:3,20,20260515,0.054124,0.069484,0.646664,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T125955/analysis
pmts,4:3,20,20260515,0.05085,0.068688,0.654716,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T131910/analysis
orig,4:3,20,20260516,0.054688,0.076016,0.660075,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T133437/analysis
tts,4:3,20,20260516,0.064839,0.089767,0.52597,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T135536/analysis
mts,4:3,20,20260516,0.062244,0.080082,0.622737,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T141124/analysis
pmts,4:3,20,20260516,0.053811,0.07146,0.699603,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T143000/analysis
orig,4:3,20,20260517,0.048238,0.062205,0.710168,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T144459/analysis
tts,4:3,20,20260517,0.04535,0.06099,0.721379,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T150419/analysis
mts,4:3,20,20260517,0.043724,0.057244,0.754554,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T151852/analysis
pmts,4:3,20,20260517,0.045451,0.060943,0.721808,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T153747/analysis
orig,4:3,20,20260518,0.04927,0.063388,0.696063,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T155206/analysis
tts,4:3,20,20260518,0.057764,0.077765,0.542556,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T161042/analysis
mts,4:3,20,20260518,0.047352,0.062134,0.707967,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260516T162507/analysis
pmts,4:3,20,20260518,0.059743,0.07725,0.627061,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T161136/analysis
orig,4:3,20,20260519,0.040123,0.053146,0.77297,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T162817/analysis
tts,4:3,20,20260519,0.043994,0.056924,0.739551,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T164848/analysis
mts,4:3,20,20260519,0.038766,0.052338,0.779823,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T170417/analysis
pmts,4:3,20,20260519,0.043983,0.057178,0.73722,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T172437/analysis
orig,5:2,25,20260515,0.034296,0.044391,0.839921,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T174109/analysis
tts,5:2,25,20260515,0.041875,0.049249,0.802974,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T180109/analysis
mts,5:2,25,20260515,0.037986,0.047021,0.820395,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T181711/analysis
pmts,5:2,25,20260515,0.040717,0.052276,0.778004,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T183735/analysis
orig,5:2,25,20260516,0.080025,0.106797,0.424093,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T185328/analysis
tts,5:2,25,20260516,0.091066,0.118051,0.296317,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T191304/analysis
mts,5:2,25,20260516,0.079987,0.108179,0.409087,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T192854/analysis
pmts,5:2,25,20260516,0.080868,0.093104,0.562301,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T194926/analysis
orig,5:2,25,20260517,0.050024,0.072602,0.720621,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T200517/analysis
tts,5:2,25,20260517,0.064355,0.082805,0.636579,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T202436/analysis
mts,5:2,25,20260517,0.049673,0.072478,0.721574,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T204030/analysis
pmts,5:2,25,20260517,0.061308,0.07773,0.679758,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T210000/analysis
orig,5:2,25,20260518,0.06909,0.094066,0.570402,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T211648/analysis
tts,5:2,25,20260518,0.065883,0.090877,0.599043,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T213707/analysis
mts,5:2,25,20260518,0.066354,0.090257,0.604489,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T215315/analysis
pmts,5:2,25,20260518,0.055768,0.075391,0.724046,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T221245/analysis
orig,5:2,25,20260519,0.046301,0.056863,0.724639,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T222916/analysis
tts,5:2,25,20260519,0.045873,0.057287,0.720512,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T224857/analysis
mts,5:2,25,20260519,0.045547,0.055677,0.736008,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T230429/analysis
pmts,5:2,25,20260519,0.045389,0.057205,0.721319,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T232336/analysis
orig,6:1,30,20260515,0.043319,0.056849,0.684462,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T233839/analysis
tts,6:1,30,20260515,0.069946,0.081249,0.355486,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260518T235753/analysis
mts,6:1,30,20260515,0.04273,0.056745,0.685626,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T001351/analysis
pmts,6:1,30,20260515,0.035891,0.047753,0.777363,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T003334/analysis
orig,6:1,30,20260516,0.034231,0.052033,0.802954,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T005002/analysis
tts,6:1,30,20260516,0.054953,0.068112,0.66236,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T011003/analysis
mts,6:1,30,20260516,0.032217,0.045876,0.846824,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T012614/analysis
pmts,6:1,30,20260516,0.039056,0.049318,0.822982,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T014641/analysis
orig,6:1,30,20260517,0.030927,0.036206,0.890789,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T020257/analysis
tts,6:1,30,20260517,0.03779,0.048749,0.802012,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T022250/analysis
mts,6:1,30,20260517,0.030158,0.036439,0.889375,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T023838/analysis
pmts,6:1,30,20260517,0.032426,0.04296,0.846244,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T025846/analysis
orig,6:1,30,20260518,0.043037,0.055849,0.725305,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T031601/analysis
tts,6:1,30,20260518,0.048229,0.062303,0.658153,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T033615/analysis
mts,6:1,30,20260518,0.044198,0.056891,0.714955,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T035200/analysis
pmts,6:1,30,20260518,0.043011,0.056636,0.71751,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T041121/analysis
orig,6:1,30,20260519,0.080433,0.097861,0.376633,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T042647/analysis
tts,6:1,30,20260519,0.074724,0.0973,0.383758,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T044556/analysis
mts,6:1,30,20260519,0.079688,0.095551,0.405713,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T050038/analysis
pmts,6:1,30,20260519,0.077637,0.092478,0.44333,/root/autodl-tmp/over/STGNP/checkpoints/SM_trainingStrategy/SM/hierarchical_SM_20260519T051920/analysis
