station_id,target_station_index,original_node_index,sample_count,MAE,RMSE
PL14,7,6,4822,0.2580033197044115,0.2788602726029044
PL01,7,8,4852,0.1840522732594882,0.20159111553969578
PL09,4,5,4787,0.16364272017555642,0.1926941035627547
PL05,1,7,3934,0.15737913570158,0.1780975632461769
PL06,6,1,4727,0.12838250142980231,0.15228169236247788
PL18,6,2,4897,0.11798860461329207,0.1329731575647692
PL02,3,0,4638,0.11736693118874396,0.14216659551899427
PL19,3,3,4585,0.10586974526894652,0.11438662062701661
PL16,2,4,4775,0.10307878886529913,0.11653793715578761
