ratio,ratio_tag,seed,file_time,selected_count,test_count,holdout_station,holdout_sample_count,holdout_mae,holdout_rmse,holdout_r2,overall_mae,overall_rmse,overall_r2,split_dir,analysis_dir
0.8,r80,20260509,20260506T151331,7,1,MS3603,18624,0.0322463689683984,0.0426241714978674,0.72898224846847,0.032246,0.042624,0.728982,/root/autodl-tmp/over/STGNP/experiments/ratio_ms3603_paper/20260506T141459/split_r80,/root/autodl-tmp/over/STGNP/checkpoints/SM/hierarchical_SM_20260506T151331/analysis
0.5,r50,20260508,20260506T145418,17,2,MS3603,18624,0.0431129730168947,0.0547016890399064,0.5536379381012739,0.043113,0.054702,0.553638,/root/autodl-tmp/over/STGNP/experiments/ratio_ms3603_paper/20260506T141459/split_r50,/root/autodl-tmp/over/STGNP/checkpoints/SM/hierarchical_SM_20260506T145418/analysis
0.3,r30,20260507,20260506T143510,24,2,MS3603,18624,0.0173613068466058,0.0283352120137324,0.8802325466769299,0.017361,0.028335,0.880233,/root/autodl-tmp/over/STGNP/experiments/ratio_ms3603_paper/20260506T141459/split_r30,/root/autodl-tmp/over/STGNP/checkpoints/SM/hierarchical_SM_20260506T143510/analysis
0.2,r20,20260506,20260506T141503,27,3,MS3603,18624,0.0267951831944075,0.034591223811186,0.8215084186992042,0.026795,0.034591,0.821508,/root/autodl-tmp/over/STGNP/experiments/ratio_ms3603_paper/20260506T141459/split_r20,/root/autodl-tmp/over/STGNP/checkpoints/SM/hierarchical_SM_20260506T141503/analysis
