station_id,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
CD03,7,14,325,0.10396369028549927,0.10564052576668076,-53.68389187194403
MS3488,1,26,16699,0.07523015157370748,0.08126683820337659,0.29032189041248935
C4,0,11,18606,0.07223025969676429,0.07644518217582172,0.1372988243890484
C3,3,10,18606,0.06335791426968167,0.07691193886721208,-1.0746324560097489
MS3545,12,35,3845,0.0621295503274052,0.06461452354596908,-6.7714017454724695
P8,16,54,5639,0.05693620059121943,0.060622209051275584,-1.558448120106935
MS3620,9,42,18623,0.05289050512220257,0.057681821965536506,0.36273407295202675
C2,5,9,12996,0.04986063454835626,0.05219498300473698,0.7625598781795264
MS3627,10,43,18625,0.04271049188247463,0.04880586721365427,0.5815205224831417
MS3533,13,34,18606,0.040055065137794374,0.05149749007650062,0.8420986358551568
CD07,11,18,18501,0.04003371699897865,0.046107413286011464,0.8369254621870643
MS3518,14,31,18601,0.0377556976596038,0.041335483820555706,0.8842588516777847
CD01,15,12,18497,0.03643360963742682,0.05268388404292826,0.8394852766771783
MS3603,8,40,18624,0.025542669077051796,0.029800735234853735,0.8675231883746777
MS3513,2,30,18366,0.02412950972909114,0.03492226346978497,0.8732497339495717
