station_id,lon,lat,elevation
BC+,91.97666666666667,31.373333333333335,4559.0
BC02,92.36833333333334,31.073333333333334,4835.0
BC03,92.30833333333334,31.106666666666666,4690.0
BC04,92.25,31.128333333333334,4609.0
BC05,92.19666666666667,31.171666666666667,4548.0
BC06,92.165,31.231666666666666,4491.0
BC07,92.11,31.275,4478.0
BC08,92.04,31.331666666666667,4470.0
C1,91.77,31.683333333333334,4647.0
C2,91.80833333333334,31.69,4672.0
C3,91.775,31.615,4585.0
C4,91.84166666666667,31.618333333333332,4608.0
CD01,92.45833333333333,31.713333333333335,4762.0
CD02,92.405,31.683333333333334,4612.0
CD03,92.34166666666667,31.663333333333334,4518.0
CD04,92.33,31.64,4491.0
CD05,92.24,31.586666666666666,4637.0
CD06,92.205,31.54,4769.0
CD07,92.13333333333334,31.495,4628.0
F1,91.8,31.693333333333335,4699.0
F2,91.78666666666666,31.703333333333333,4697.0
F3,91.80166666666666,31.716666666666665,4699.0
F4,91.77333333333333,31.698333333333334,4737.0
F5,91.78666666666666,31.693333333333335,4719.0
MS3475,91.72166666666666,31.946666666666665,4637.0
MS3482,91.7,31.89,4713.0
MS3488,91.705,31.843333333333334,4799.0
MS3494,91.75,31.805,4818.0
MS3501,91.78333333333333,31.753333333333334,4723.0
MS3506,91.81,31.721666666666668,4684.0
MS3513,91.84166666666667,31.678333333333335,4628.0
MS3518,91.795,31.661666666666665,4574.0
MS3523,91.755,31.64,4570.0
MS3527,91.74,31.615,4552.0
MS3533,91.79333333333334,31.586666666666666,4539.0
MS3545,91.91333333333333,31.573333333333334,4671.0
MS3552,91.985,31.545,4574.0
MS3559,92.05,31.526666666666667,4516.0
MS3576,91.97,31.41,4517.0
MS3593,91.84833333333333,31.301666666666666,4574.0
MS3603,91.8,31.258333333333333,4630.0
MS3614,91.76,31.175,4633.0
MS3620,91.725,31.13,4765.0
MS3627,91.68833333333333,31.088333333333335,4736.0
MS3633,91.67833333333333,31.033333333333335,4675.0
MSBJ,91.89,31.366666666666667,4505.0
MSNQRW,92.01666666666667,31.463333333333335,4537.0
P1,91.73,31.781666666666666,4730.0
P10,91.845,31.808333333333334,4804.0
P11,91.795,31.816666666666666,4953.0
P2,91.725,31.743333333333332,4677.0
P3,91.7192,31.685,4600.0
P5,91.91666666666667,31.7,4780.0
P7,91.905,31.671666666666667,4737.0
P8,91.87,31.735,4665.0
P9,91.76666666666667,31.731666666666666,4758.0
