top_k,seed,window_hours,t_len,num_train_target,selected_count,holdout_count,selected_stations,holdout_stations,file_time,split_dir,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
2,3,4,8,1,2,33,"MS3482,MS3527","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260512T202910,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k02/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T202910,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T202910/analysis,0.100765,0.126377,-0.121149
2,4,4,8,1,2,33,"MS3482,MS3527","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260512T204819,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k02/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T204819,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T204819/analysis,0.08473,0.116161,0.052792
2,5,4,8,1,2,33,"MS3482,MS3527","BC02,BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11,P2",20260512T210657,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k02/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T210657,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T210657/analysis,0.091712,0.110422,0.14407
4,3,4,8,3,4,31,"MS3482,MS3527,BC02,P2","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T212537,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k04/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T212537,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T212537/analysis,0.103258,0.133539,-0.323494
4,4,4,8,3,4,31,"MS3482,MS3527,BC02,P2","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T214357,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k04/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T214357,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T214357/analysis,0.105742,0.144028,-0.53956
4,5,4,8,3,4,31,"MS3482,MS3527,BC02,P2","BC03,BC04,BC05,BC06,BC07,BC08,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3488,MS3494,MS3501,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T220246,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k04/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T220246,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T220246/analysis,0.106816,0.132903,-0.310917
8,3,4,8,3,8,27,"MS3482,MS3527,BC02,P2,BC08,BC03,MS3488,MS3501","BC04,BC05,BC06,BC07,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3494,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T222131,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k08/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T222131,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T222131/analysis,0.065847,0.081478,0.502295
8,4,4,8,3,8,27,"MS3482,MS3527,BC02,P2,BC08,BC03,MS3488,MS3501","BC04,BC05,BC06,BC07,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3494,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T224040,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k08/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T224040,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T224040/analysis,0.065417,0.093655,0.342423
8,5,4,8,3,8,27,"MS3482,MS3527,BC02,P2,BC08,BC03,MS3488,MS3501","BC04,BC05,BC06,BC07,C1,C2,CD01,CD03,CD07,F3,F4,F5,MS3494,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T225831,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k08/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T225831,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T225831/analysis,0.073232,0.099002,0.265194
10,3,4,8,3,10,25,"MS3482,MS3527,BC02,P2,BC08,BC03,MS3488,MS3501,CD01,F3","BC04,BC05,BC06,BC07,C1,C2,CD03,CD07,F4,F5,MS3494,MS3513,MS3518,MS3523,MS3533,MS3576,MS3603,MS3614,MS3620,MS3627,MSBJ,MSNQRW,P1,P10,P11",20260512T231730,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260512T202907/split_k10/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T231730,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260512T231730/analysis,0.073353,0.100306,0.152782
