top_k,window_hours,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,overall_mae_std,overall_rmse_std,overall_r2_std
2,4,8,0.09240233333333332,0.11765333333333333,0.02523766666666667,0.00656443581395656,0.0065985251045635514,0.11001427317802401
4,4,8,0.10527199999999999,0.13682333333333332,-0.3913236666666666,0.001490081876945015,0.0051010809529832835,0.10494459847091811
8,4,8,0.06816533333333334,0.09137833333333334,0.36997066666666667,0.0035869725705979776,0.007333032675654894,0.09873660754530492
10,4,8,0.070354,0.09546433333333333,0.2185113333333333,0.007893015182214379,0.012932158993076995,0.20086331645397296
14,4,8,0.05881566666666666,0.07140933333333334,0.5654046666666667,0.008394466682814869,0.008273445164433547,0.10068605452704074
