station_id,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
MS3518,3,20,18601,0.042441891819041594,0.04659085430003596,0.8529574382063018
CD07,2,11,18501,0.04191832827886088,0.04464313773546218,0.8471188177632409
MS3533,1,23,18606,0.04020805492689632,0.048725934465659204,0.8586375420639869
MS3627,0,28,18625,0.034027176650178514,0.03966917350615291,0.7235374045124859
MS3513,5,19,18366,0.027567772185615527,0.037608882281063405,0.8529974296861993
MS3603,4,25,18624,0.024685264006977153,0.030220979308626213,0.8637605307287985
