window,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,stability_std_mean,extreme_mae_mean,extreme_rmse_mean,overall_mae_std,overall_rmse_std,overall_r2_std,stability_std_std,extreme_mae_std,extreme_rmse_std
1,2,0.0425118,0.052896399999999996,0.8352748,,,,0.003859761049598794,0.0035546990083549974,0.022972265063767625,,,
2,4,0.0457284,0.0564138,0.8130915999999999,,,,0.001528664724522679,0.0025431063996616426,0.016608306121937942,,,
3,6,0.0431358,0.0527758,0.8358852000000001,,,,0.004273364828797091,0.0038312582998278758,0.02401522652318732,,,
4,8,0.0483242,0.0590306,0.7946966,,,,0.005834849968936651,0.004232090481074337,0.028623567063523023,,,
5,10,0.046368,0.0574462,0.8051931999999999,,,,0.004588485240250861,0.004819556676707929,0.03283368622862807,,,
6,12,0.0444944,0.055694200000000006,0.8172494,,,,0.00426252430374303,0.003951860999579818,0.025306195088159712,,,
8,16,0.04428459999999999,0.055670399999999995,0.8171552,,,,0.003962970179045006,0.004425743580461931,0.027776594920184146,,,
12,24,0.0470636,0.057599199999999996,0.8051492,,,,0.0029206456546455603,0.0022949025600229747,0.015371917257128323,,,
