top_k,seed,window_hours,t_len,num_train_target,selected_count,holdout_count,selected_stations,holdout_stations,file_time,split_dir,checkpoint_dir,analysis_dir,overall_mae,overall_rmse,overall_r2
12,3,4,8,3,12,23,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10,MS3488,F4","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P11",20260515T151234,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260515T151231/split_k12/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T151234,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T151234/analysis,0.059649,0.08113,0.614715
12,4,4,8,3,12,23,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10,MS3488,F4","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P11",20260515T152956,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260515T151231/split_k12/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T152956,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T152956/analysis,0.062395,0.082652,0.600129
12,5,4,8,3,12,23,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10,MS3488,F4","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD03,CD07,F3,MS3482,MS3494,MS3518,MS3523,MS3527,MS3533,MS3576,MS3614,MSBJ,MSNQRW,P1,P11",20260515T154756,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260515T151231/split_k12/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T154756,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T154756/analysis,0.059938,0.081272,0.613367
16,3,4,8,3,16,19,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10,MS3488,F4,MS3527,MS3494,MSBJ,CD03","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD07,F3,MS3482,MS3518,MS3523,MS3533,MS3576,MS3614,MSNQRW,P1,P11",20260515T160552,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260515T151231/split_k16/seed3,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T160552,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T160552/analysis,0.060927,0.083955,0.589911
16,4,4,8,3,16,19,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10,MS3488,F4,MS3527,MS3494,MSBJ,CD03","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD07,F3,MS3482,MS3518,MS3523,MS3533,MS3576,MS3614,MSNQRW,P1,P11",20260515T162416,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260515T151231/split_k16/seed4,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T162416,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T162416/analysis,0.060258,0.080952,0.618724
16,5,4,8,3,16,19,"MS3501,P2,MS3603,MS3620,MS3513,C1,MS3627,F5,BC06,P10,MS3488,F4,MS3527,MS3494,MSBJ,CD03","BC02,BC03,BC04,BC05,BC07,BC08,C2,CD01,CD07,F3,MS3482,MS3518,MS3523,MS3533,MS3576,MS3614,MSNQRW,P1,P11",20260515T164146,/root/autodl-tmp/over/STGNP/experiments/topk_key_stations/20260515T151231/split_k16/seed5,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T164146,/root/autodl-tmp/over/STGNP/checkpoints/SM_keySite/SM/hierarchical_SM_20260515T164146/analysis,0.059345,0.082373,0.605224
