feature_index,feature_name,sample_count,MAE,RMSE,R2
0,5cm,225159,0.05356701069298494,0.0627682937368578,0.6998340297565724
1,10cm,177195,0.047655866553513795,0.0557606488039667,0.46476370541141365
2,20cm,203799,0.03595648851574163,0.04713669273015742,0.4986700087078123
3,40cm,154460,0.04786620798109957,0.055564677452050903,0.23274598644183297
