window,t_len,seed,overall_mae,overall_rmse,overall_r2,stability_std,extreme_mae,extreme_rmse,file_time,checkpoint_dir,analysis_dir
1,2,3,0.046249,0.053859,0.770411,,,,20260519T194911,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T194911,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T194911/analysis
1,2,4,0.049019,0.059184,0.722769,,,,20260519T200914,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T200914,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T200914/analysis
1,2,5,0.045787,0.054597,0.764083,,,,20260519T202849,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T202849,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T202849/analysis
2,4,3,0.045409,0.053363,0.774614,,,,20260519T204841,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T204841,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T204841/analysis
2,4,4,0.048197,0.057008,0.742765,,,,20260519T210819,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T210819,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T210819/analysis
2,4,5,0.048767,0.058494,0.729182,,,,20260519T212758,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T212758,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T212758/analysis
3,6,3,0.047525,0.056915,0.743594,,,,20260519T214723,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T214723,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T214723/analysis
3,6,4,0.04855,0.057055,0.742325,,,,20260519T220712,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T220712,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T220712/analysis
3,6,5,0.047785,0.056238,0.749659,,,,20260519T222703,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T222703,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T222703/analysis
4,8,3,0.045105,0.052933,0.778204,,,,20260519T224638,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T224638,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T224638/analysis
4,8,4,0.048284,0.058635,0.727847,,,,20260519T230600,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T230600,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T230600/analysis
4,8,5,0.046178,0.055329,0.757664,,,,20260519T232622,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T232622,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T232622/analysis
5,10,3,0.047682,0.057064,0.742213,,,,20260519T234658,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T234658,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260519T234658/analysis
5,10,4,0.048227,0.057964,0.734018,,,,20260520T000730,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T000730,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T000730/analysis
5,10,5,0.048856,0.058448,0.729558,,,,20260520T002804,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T002804,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T002804/analysis
6,12,3,0.045517,0.052799,0.779295,,,,20260520T004745,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T004745,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T004745/analysis
6,12,4,0.044913,0.053897,0.770023,,,,20260520T010808,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T010808,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T010808/analysis
6,12,5,0.049805,0.058933,0.725034,,,,20260520T012812,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T012812,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260520T012812/analysis
