window,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,stability_std_mean,extreme_mae_mean,extreme_rmse_mean,overall_mae_std,overall_rmse_std,overall_r2_std,stability_std_std,extreme_mae_std,extreme_rmse_std
1,2,0.04701833333333333,0.055880000000000006,0.752421,,,,0.0014272027030368022,0.0023556277295022658,0.021125683010654723,,,
2,4,0.04745766666666667,0.05628833333333333,0.7488536666666666,,,,0.0014671971767814837,0.0021556484458793903,0.01904066792129123,,,
3,6,0.04795333333333333,0.056736,0.7451926666666666,,,,0.00043505427503039764,0.0003567473429006388,0.003200384386635799,,,
4,8,0.04652233333333333,0.05563233333333334,0.7545716666666666,,,,0.0013204631342407448,0.0023376924995007833,0.020674118382385465,,,
5,10,0.048255,0.05782533333333333,0.7352630000000001,,,,0.00047969226246278543,0.0005734604510242118,0.0052408507579081425,,,
6,12,0.046745,0.055209666666666664,0.7581173333333333,,,,0.0021777517458761602,0.0026706814777422557,0.023697717250589546,,,
8,16,0.04819466666666666,0.058011,0.7331506666666666,,,,0.0019005950530177516,0.002224746277668534,0.020204751327898667,,,
12,24,0.04798633333333333,0.05658866666666667,0.7463443333333334,,,,0.00017516531873886722,0.0007384778639577201,0.006631127321621563,,,
