top_k,window_hours,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,overall_mae_std,overall_rmse_std,overall_r2_std
2,3,6,0.09815566666666668,0.131217,-0.19769666666666663,0.004691851967921505,0.007374888790121965,0.13160539918593342
4,3,6,0.06914366666666667,0.09216666666666666,0.40660466666666667,0.002663508254581198,0.00420330681990052,0.054635001811008395
8,3,6,0.06122666666666667,0.076872,0.5826286666666667,0.004748771724234477,0.004267319142818667,0.04702791637125997
10,3,6,0.05660933333333334,0.072587,0.6353073333333333,0.0029583114928771245,0.0020846961409279785,0.021123394697717398
12,3,6,0.05277166666666667,0.070273,0.665042,0.0015081711515017833,0.0006731077179768441,0.006399450028452937
14,3,6,0.05772633333333333,0.07430366666666667,0.643476,0.0006341431664502574,0.0012891791531392685,0.012299839213041206
16,3,6,0.05298233333333333,0.06926533333333333,0.6725616666666667,0.0013828194226129288,0.0023648670622726806,0.022593137606115844
