window,t_len,seed,overall_mae,overall_rmse,overall_r2,stability_std,extreme_mae,extreme_rmse,file_time,checkpoint_dir,analysis_dir
1,2,3,0.048074,0.069567,0.750973,0.06735958376227726,0.0629630162164357,0.08092422482120125,20260509T233639,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T233639,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T233639/analysis
1,2,4,0.044399,0.064358,0.786867,0.06317362101397923,0.05598712019993089,0.07269567265502731,20260509T235649,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T235649,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260509T235649/analysis
1,2,5,0.045353,0.065631,0.778352,0.06485747994295916,0.05445536154161956,0.071656609200352,20260510T001706,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T001706,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T001706/analysis
2,4,3,0.042571,0.066503,0.772416,0.0627319539814671,0.056936230291251985,0.07482548954786582,20260510T003737,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T003737,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T003737/analysis
2,4,4,0.046,0.067427,0.766046,0.06431519750643656,0.05796652772106336,0.07525850576679644,20260510T005741,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T005741,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T005741/analysis
2,4,5,0.047878,0.071103,0.739842,0.06905351196709567,0.058329399217929435,0.07649014455626348,20260510T011717,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T011717,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T011717/analysis
3,6,3,0.048846,0.071289,0.738468,0.0700566295568215,0.05835208482006351,0.07633004699028786,20260510T013653,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T013653,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T013653/analysis
3,6,4,0.043181,0.068205,0.760603,0.06573695311597325,0.056160767759144026,0.07428715232396607,20260510T015711,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T015711,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T015711/analysis
3,6,5,0.050147,0.06867,0.757328,0.06812035412417018,0.06200511598240209,0.07815967404730162,20260510T021711,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T021711,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T021711/analysis
4,8,3,0.044468,0.066121,0.774996,0.06472952774871282,0.056575236385754395,0.07396017169619633,20260510T023620,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T023620,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T023620/analysis
4,8,4,0.044754,0.066681,0.771174,0.0648779380021946,0.05693578131119522,0.07460584899985517,20260510T025618,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T025618,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T025618/analysis
4,8,5,0.044306,0.068089,0.761407,0.06702678598891351,0.05542088603497134,0.07324624207744918,20260510T031614,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T031614,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T031614/analysis
5,10,3,0.047741,0.070871,0.741498,0.06706193582849901,0.06406018460175855,0.08110517727906838,20260510T033544,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T033544,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T033544/analysis
5,10,4,0.045648,0.069448,0.751774,0.06784210603902863,0.05718694500076652,0.07567239968062499,20260510T035614,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T035614,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T035614/analysis
5,10,5,0.047829,0.066988,0.769051,0.06691706475595015,0.05391065918968334,0.07107038707380307,20260510T041722,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T041722,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T041722/analysis
6,12,3,0.04236,0.064124,0.788366,0.060485614114313545,0.057747222487097086,0.07456849924497151,20260510T043735,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T043735,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T043735/analysis
6,12,4,0.049516,0.07023,0.746137,0.06913232975895899,0.05858485050353698,0.07602861432939977,20260510T045849,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T045849,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T045849/analysis
6,12,5,0.049146,0.067786,0.763503,0.0677784302382621,0.05339238513384173,0.070035492121279,20260510T051933,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T051933,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T051933/analysis
8,16,3,0.055625,0.076655,0.697535,0.07574424127891544,0.06365677084546466,0.08133060373396951,20260510T054013,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T054013,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T054013/analysis
8,16,4,0.050546,0.072358,0.730499,0.06883234613724211,0.06571627057769511,0.08371887600751603,20260510T060202,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T060202,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T060202/analysis
8,16,5,0.050831,0.072147,0.732066,0.07096113067816474,0.06268567470763774,0.08024820748285294,20260510T062316,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T062316,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T062316/analysis
10,20,3,0.049235,0.070524,0.74396,0.06967206921765173,0.06140772710220367,0.07888945035955314,20260510T064439,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T064439,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T064439/analysis
10,20,4,0.046337,0.066388,0.773112,0.06459277139678707,0.059748661022041856,0.07613753017314462,20260510T070634,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T070634,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T070634/analysis
10,20,5,0.052525,0.075713,0.704894,0.07308146718808145,0.06532095760895054,0.08372417521914242,20260510T072840,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T072840,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T072840/analysis
12,24,3,0.042822,0.064113,0.788373,0.06237720394784655,0.05684633289231215,0.07385163905827975,20260510T075045,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T075045,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T075045/analysis
12,24,4,0.045716,0.06776,0.763614,0.06667347165108314,0.05675416326188559,0.07412637589856429,20260510T081325,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T081325,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T081325/analysis
12,24,5,0.051657,0.071611,0.735983,0.07103869852951761,0.05969826570958129,0.07697638553331518,20260510T083629,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T083629,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T083629/analysis
