station_id,base_station_id,depth_name,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
MS3513@40cm,MS3513,40cm,63,198,33,0.1614350030819575,0.20121170393719295,0.009710150420527364
CD03@5cm,CD03,5cm,5,14,325,0.13580526558252481,0.13701082289568398,-90.98309649762632
C4@10cm,C4,10cm,21,67,18606,0.10000315861017438,0.10579531691628452,-6.865577253349747
MS3513@20cm,MS3513,20cm,45,142,17978,0.08926717635330747,0.09299250099191511,-6.382545617198221
MS3488@5cm,MS3488,5cm,8,26,16699,0.08798613157711155,0.09591671399522396,0.011394019795021748
MS3545@5cm,MS3545,5cm,12,35,3845,0.08614821057713389,0.08817664762511236,-13.472588117164209
CD01@40cm,CD01,40cm,58,180,18497,0.08501695936772606,0.09365224535685471,-1.3543561210122173
P8@5cm,P8,5cm,17,54,5639,0.0843839385256232,0.08644334642003988,-4.202070186811051
MS3603@40cm,MS3603,40cm,68,208,18624,0.08188021218738618,0.08367684290926658,-0.346185861477851
C4@5cm,C4,5cm,3,11,18606,0.08180583392380131,0.08789611796517605,-0.14051107991215872
CD01@20cm,CD01,20cm,40,124,12621,0.08028325001771812,0.09048967654028532,-0.5844989159784222
MS3627@20cm,MS3627,20cm,52,155,18625,0.08021785674599193,0.08471780363162966,-1.4687231705855166
C4@40cm,C4,40cm,57,179,18606,0.07538326698247558,0.07743256813176225,-3.8898020855690527
C3@5cm,C3,5cm,2,10,18606,0.07330643092967369,0.0920105209727534,-1.9691258156671525
MS3627@40cm,MS3627,40cm,70,211,18625,0.06598039252005967,0.07276102600805805,-1.543788394276889
CD01@5cm,CD01,5cm,4,12,18497,0.06122156123235405,0.07941546730579233,0.6352716985029809
MS3620@10cm,MS3620,10cm,33,98,16954,0.05837777805849391,0.06215763698116582,-0.813499187882583
MS3518@40cm,MS3518,40cm,64,199,18601,0.055467959257276024,0.05779535290393459,-0.44260704126945605
C3@10cm,C3,10cm,20,66,18606,0.05343213515388418,0.06934905321846496,-1.5008654386808264
CD07@20cm,CD07,20cm,42,130,18503,0.052625232949206256,0.05825351410761504,0.17804406652991467
MS3488@40cm,MS3488,40cm,62,194,18545,0.05028909070853693,0.05294367773833629,-0.686370100029938
MS3545@10cm,MS3545,10cm,30,91,5700,0.04952170333710679,0.053071060804173245,-1.1809692208721256
MS3513@10cm,MS3513,10cm,27,86,18366,0.04739679659271661,0.05331456041221087,0.4946678818828898
C4@20cm,C4,20cm,39,123,18606,0.045404478601649235,0.05020102020841412,-1.1864116317377111
MS3533@10cm,MS3533,10cm,29,90,18606,0.042790187372003435,0.04688658069860231,0.584783512764905
CD03@20cm,CD03,20cm,41,126,132,0.040936100324898056,0.04106348713770396,-583.7678896551589
C2@5cm,C2,5cm,1,9,12996,0.03877111389790454,0.04282269711165041,0.8401750487148802
CD07@5cm,CD07,5cm,6,18,18501,0.03664904620006506,0.04201532593058215,0.8645870874600978
C2@20cm,C2,20cm,37,121,12996,0.03527752176975151,0.04085149940885049,-0.2142057888517428
MS3627@10cm,MS3627,10cm,34,99,18625,0.032693742028818834,0.03851274082510143,0.7447423705540195
MS3545@40cm,MS3545,40cm,66,203,5700,0.03261500984038177,0.04640004409962968,-0.34421837882600026
MS3518@5cm,MS3518,5cm,10,31,18601,0.032160624526459125,0.03738376231220085,0.9053310148880577
CD03@10cm,CD03,10cm,23,70,324,0.03148861670935595,0.03460742694967771,-0.7944092279534851
MS3488@10cm,MS3488,10cm,26,82,18545,0.03044823293706483,0.03341332273924854,0.7476325939166619
MS3533@5cm,MS3533,5cm,11,34,18606,0.029642594935566483,0.0385684167178263,0.9114318954422519
MS3513@5cm,MS3513,5cm,9,30,18366,0.028804661986206813,0.038402909397740354,0.8467246478089565
P8@10cm,P8,10cm,35,110,5639,0.027025201638173204,0.0346000111335378,0.5780417733634962
MS3603@20cm,MS3603,20cm,50,152,18624,0.026395421668397475,0.03419763470839619,0.6030175786707294
MS3545@20cm,MS3545,20cm,48,147,5700,0.026128218960866593,0.04022390622082136,-0.6893629207536687
MS3620@20cm,MS3620,20cm,51,154,18623,0.025932835671153148,0.03219278783178138,0.3679099264209329
MS3518@10cm,MS3518,10cm,28,87,18601,0.02526615513110634,0.029109470214761204,0.8892675223546571
MS3603@10cm,MS3603,10cm,32,96,18623,0.02350956367624118,0.027612194318059335,0.8230378229631331
MS3620@5cm,MS3620,5cm,15,42,18623,0.02350598238502583,0.027520404837334138,0.8549384343811162
MS3488@20cm,MS3488,20cm,44,138,18545,0.023441844962458946,0.02748588542438013,0.6606778092079119
MS3533@20cm,MS3533,20cm,47,146,18606,0.019060772841356394,0.024231946741593936,0.7699882709511868
MS3603@5cm,MS3603,5cm,14,40,18624,0.01886852753718297,0.02766380623402263,0.8858411094097579
MS3518@20cm,MS3518,20cm,46,143,18601,0.01816379359648578,0.023175190857386542,0.8745551183441315
MS3620@40cm,MS3620,40cm,69,210,18623,0.01800748330994489,0.02653046891859612,0.6577682017560422
MS3627@5cm,MS3627,5cm,16,43,18625,0.017655661192516353,0.02371243756050579,0.9012169400273483
MS3533@40cm,MS3533,40cm,65,202,18606,0.012631344355784552,0.015849072939016013,0.8526788109013188
P8@20cm,P8,20cm,53,166,5639,0.0067774100804882794,0.009294369055383958,0.2896718813960266
