station_id,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
PL23,7,22,325,0.10396369028549927,0.10564052576668076,-53.68389187194403
PL13,12,12,20544,0.07277825263523238,0.07841964059297876,0.37727926180370064
PL10,9,9,37229,0.06255596682179954,0.06771229307298725,0.2506038865996414
PL17,16,16,5639,0.05693620059121943,0.060622209051275584,-1.558448120106935
PL11,10,10,37231,0.05302893460322815,0.06440363268760942,0.049363547383647455
PL12,5,11,31497,0.04408840857188119,0.04871148920111444,0.8303729033303006
PL14,13,13,18606,0.040055065137794374,0.05149749007650062,0.8420986358551568
PL15,14,14,18601,0.0377556976596038,0.041335483820555706,0.8842588516777847
PL16,15,15,18497,0.03643360963742682,0.05268388404292826,0.8394852766771783
PL09,8,8,18624,0.025542669077051796,0.029800735234853735,0.8675231883746777
PL05,2,4,18366,0.02412950972909114,0.03492226346978497,0.8732497339495717
