station_id,target_station_index,original_node_index,sample_count,MAE,RMSE,R2
CD01,4,9,18497,0.11534381797610214,0.13120569405231924,0.004446422941912109
CD07,2,11,18501,0.04249357320857585,0.04610531449709256,0.8369403193363628
MS3518,3,20,18601,0.040718128014383737,0.04417790277961767,0.8677937754864053
MS3533,1,23,18606,0.040666184172964887,0.051375104140331085,0.8428482705541149
MS3627,0,28,18625,0.03207087164117186,0.04436029643078812,0.6542844169120223
MS3513,6,19,18366,0.025321786459541445,0.03511006687897692,0.8718828147272683
MS3603,5,25,18624,0.020444361049733108,0.029118960189407413,0.8735154146211843
