date,station_id,lon,lat,soil_moisture_band1,soil_moisture_band2,soil_moisture
2020-10-05,SMAP-1,91.68568464730585,31.886774533745662,0.18084086,0.20723915,0.19404
2020-10-05,SMAP-2,91.69605809128926,31.886774533745662,0.19627547,0.22289473,0.2095851
2020-10-05,SMAP-3,91.70643153527266,31.886774533745662,0.16756928,0.19688028,0.18222478
2020-10-05,SMAP-4,91.71680497925605,31.886774533745662,0.21719514,0.23355828,0.22537671
2020-10-05,SMAP-5,91.72717842323947,31.886774533745662,0.22662124,0.2351599,0.23089057
2020-10-05,SMAP-6,91.73755186722286,31.886774533745662,0.22701088,0.23542134,0.2312161
2020-10-05,SMAP-7,91.74792531120627,31.886774533745662,0.2273156,0.23522525,0.23127043
2020-10-05,SMAP-8,91.75829875518967,31.886774533745662,0.23047538,0.23738252,0.23392895
2020-10-05,SMAP-9,91.76867219917305,31.886774533745662,0.23141713,0.23754595,0.23448154
2020-10-05,SMAP-10,91.77904564315645,31.886774533745662,0.22388838,0.23751323,0.2307008
2020-10-05,SMAP-11,91.78941908713986,31.886774533745662,0.21890637,0.23824646,0.22857642
2020-10-05,SMAP-12,91.79979253112327,31.886774533745662,0.22430933,0.23984803,0.23207867
2020-10-05,SMAP-13,91.81016597510667,31.886774533745662,0.23233317,0.24311666,0.23772492
2020-10-05,SMAP-14,91.82053941909008,31.886774533745662,0.24084084,0.24707162,0.24395624
2020-10-05,SMAP-15,91.83091286307348,31.886774533745662,0.24071987,0.24801949,0.24436969
2020-10-05,SMAP-16,91.84128630705689,31.886774533745662,0.23773618,0.24929428,0.24351522
2020-10-05,SMAP-17,91.8516597510403,31.886774533745662,0.2299139,0.24618909,0.2380515
2020-10-05,SMAP-18,91.8620331950237,31.886774533745662,0.23484631,0.24560077,0.24022354
2020-10-05,SMAP-19,91.87240663900711,31.886774533745662,0.23323111,0.2445548,0.23889296
2020-10-05,SMAP-20,91.8827800829905,31.886774533745662,0.23261422,0.26090002,0.24675712
2020-10-05,SMAP-21,91.8931535269739,31.886774533745662,0.2336098,0.26135767,0.24748373
2020-10-05,SMAP-22,91.90352697095732,31.886774533745662,0.23154695,0.26063854,0.24609274
2020-10-05,SMAP-23,91.91390041494071,31.886774533745662,0.23213936,0.2603117,0.24622554
2020-10-05,SMAP-24,91.92427385892411,31.886774533745662,0.23230043,0.26054052,0.24642047
2020-10-05,SMAP-25,91.9346473029075,31.886774533745662,0.23250261,0.26083466,0.24666864
2020-10-05,SMAP-26,91.9450207468909,31.886774533745662,0.21829365,0.26086736,0.23958051
2020-10-05,SMAP-27,91.95539419087432,31.886774533745662,0.22159998,0.26358026,0.24259013
2020-10-05,SMAP-28,91.9657676348577,31.886774533745662,0.22587402,0.26773137,0.24680269
2020-10-05,SMAP-29,91.97614107884111,31.886774533745662,0.24359962,0.2917447,0.26767218
2020-10-05,SMAP-30,91.9865145228245,31.886774533745662,0.23826149,0.28362232,0.26094192
2020-10-05,SMAP-31,91.99688796680792,31.886774533745662,0.23708959,0.282557,0.2598233
2020-10-05,SMAP-32,92.00726141079133,31.886774533745662,0.23813945,0.27976063,0.25895005
2020-10-05,SMAP-33,92.01763485477473,31.886774533745662,0.23380163,0.27656478,0.25518322
2020-10-05,SMAP-34,92.02800829875814,31.886774533745662,0.20792098,0.2562163,0.23206863
2020-10-05,SMAP-35,92.03838174274154,31.886774533745662,0.23111482,0.26817602,0.24964541
2020-10-05,SMAP-36,92.04875518672495,31.886774533745662,0.23731932,0.27510005,0.25620967
2020-10-05,SMAP-37,92.05912863070836,31.886774533745662,0.23926522,0.27669808,0.25798166
2020-10-05,SMAP-38,92.06950207469175,31.886774533745662,0.23775387,0.2793467,0.2585503
2020-10-05,SMAP-39,92.07987551867517,31.886774533745662,0.26076782,0.318229,0.2894984
2020-10-05,SMAP-40,92.09024896265855,31.886774533745662,0.2273702,0.30118468,0.26427746
2020-10-05,SMAP-41,92.10062240664196,31.886774533745662,0.19308732,0.2442176,0.21865246
2020-10-05,SMAP-42,92.11099585062534,31.886774533745662,0.19810398,0.24600296,0.22205347
2020-10-05,SMAP-43,92.12136929460875,31.886774533745662,0.20096046,0.25018382,0.22557214
2020-10-05,SMAP-44,92.13174273859217,31.886774533745662,0.20195481,0.25444108,0.22819795
2020-10-05,SMAP-45,92.14211618257556,31.886774533745662,0.19589579,0.24965292,0.22277436
2020-10-05,SMAP-46,92.15248962655897,31.886774533745662,0.19772281,0.25697643,0.22734961
2020-10-05,SMAP-47,92.16286307054237,31.886774533745662,0.23088785,0.2596749,0.24528137
2020-10-05,SMAP-48,92.17323651452577,31.886774533745662,0.22274454,0.25141904,0.2370818
2020-10-05,SMAP-49,92.18360995850917,31.886774533745662,0.2225817,0.24982122,0.23620147
2020-10-05,SMAP-50,92.19398340249256,31.886774533745662,0.2224982,0.24955505,0.23602661
2020-10-05,SMAP-51,92.20435684647597,31.886774533745662,0.2256626,0.25301707,0.23933983
2020-10-05,SMAP-52,92.21473029045937,31.886774533745662,0.2309166,0.2606069,0.24576175
2020-10-05,SMAP-53,92.22510373444278,31.886774533745662,0.2107646,0.2733901,0.24207735
2020-10-05,SMAP-54,92.2354771784262,31.886774533745662,0.20543587,0.27234972,0.2388928
2020-10-05,SMAP-55,92.24585062240959,31.886774533745662,0.25031093,0.29801917,0.27416503
2020-10-05,SMAP-56,92.256224066393,31.886774533745662,0.25018725,0.29838094,0.2742841
2020-10-05,SMAP-57,92.26659751037641,31.886774533745662,0.25361305,0.29640758,0.27501032
2020-10-05,SMAP-58,92.27697095435981,31.886774533745662,0.25428703,0.29154956,0.27291828
2020-10-05,SMAP-59,92.28734439834318,31.886774533745662,0.2518721,0.28684354,0.2693578
2020-10-05,SMAP-60,92.29771784232659,31.886774533745662,0.24144992,0.26292205,0.252186
2020-10-05,SMAP-61,92.30809128631,31.886774533745662,0.2388274,0.25765473,0.24824107
2020-10-05,SMAP-62,92.3184647302934,31.886774533745662,0.23643413,0.26074925,0.24859169
2020-10-05,SMAP-63,92.32883817427681,31.886774533745662,0.19767222,0.25825608,0.22796415
2020-10-05,SMAP-64,92.33921161826022,31.886774533745662,0.19838896,0.2595384,0.22896369
2020-10-05,SMAP-65,92.34958506224362,31.886774533745662,0.18247086,0.223343,0.20290694
2020-10-05,SMAP-66,92.35995850622703,31.886774533745662,0.18726173,0.22790603,0.20758387
2020-10-05,SMAP-67,92.37033195021043,31.886774533745662,0.187876,0.22009541,0.2039857
2020-10-05,SMAP-68,92.38070539419382,31.886774533745662,0.20169787,0.23326865,0.21748325
2020-10-05,SMAP-69,92.39107883817722,31.886774533745662,0.21541709,0.2371157,0.22626638
2020-10-05,SMAP-70,92.40145228216062,31.886774533745662,0.24361725,0.24625556,0.2449364
2020-10-05,SMAP-71,92.41182572614403,31.886774533745662,0.25080574,0.2629544,0.25688007
2020-10-05,SMAP-72,92.42219917012743,31.886774533745662,0.2525467,0.26857153,0.2605591
2020-10-05,SMAP-73,92.43257261411084,31.886774533745662,0.24805391,0.2608291,0.2544415
2020-10-05,SMAP-74,92.44294605809425,31.886774533745662,0.24010031,0.249172,0.24463615
2020-10-05,SMAP-75,91.68568464730585,31.87756944740214,0.17887586,0.18193921,0.18040754
2020-10-05,SMAP-76,91.69605809128926,31.87756944740214,0.18432991,0.1943075,0.18931872
2020-10-05,SMAP-77,91.70643153527266,31.87756944740214,0.18444544,0.19502224,0.18973383
2020-10-05,SMAP-78,91.71680497925605,31.87756944740214,0.22782189,0.23525791,0.2315399
2020-10-05,SMAP-79,91.72717842323947,31.87756944740214,0.23001899,0.23705569,0.23353735
2020-10-05,SMAP-80,91.73755186722286,31.87756944740214,0.23293987,0.2398993,0.23641959
2020-10-05,SMAP-81,91.74792531120627,31.87756944740214,0.23531932,0.2415663,0.23844281
2020-10-05,SMAP-82,91.75829875518967,31.87756944740214,0.23697095,0.24241611,0.23969352
2020-10-05,SMAP-83,91.76867219917305,31.87756944740214,0.23815683,0.24326597,0.24071139
2020-10-05,SMAP-84,91.77904564315645,31.87756944740214,0.22965421,0.2438543,0.23675425
2020-10-05,SMAP-85,91.78941908713986,31.87756944740214,0.22612381,0.24658136,0.2363526
