station_id,lon,lat
SMAP-1,91.68568464730585,31.886774533745662
SMAP-2,91.69605809128926,31.886774533745662
SMAP-3,91.70643153527266,31.886774533745662
SMAP-4,91.71680497925605,31.886774533745662
SMAP-5,91.72717842323947,31.886774533745662
SMAP-6,91.73755186722286,31.886774533745662
SMAP-7,91.74792531120627,31.886774533745662
SMAP-8,91.75829875518967,31.886774533745662
SMAP-9,91.76867219917305,31.886774533745662
SMAP-10,91.77904564315645,31.886774533745662
SMAP-11,91.78941908713986,31.886774533745662
SMAP-12,91.79979253112327,31.886774533745662
SMAP-13,91.81016597510667,31.886774533745662
SMAP-14,91.82053941909008,31.886774533745662
SMAP-15,91.83091286307348,31.886774533745662
SMAP-16,91.84128630705689,31.886774533745662
SMAP-17,91.8516597510403,31.886774533745662
SMAP-18,91.8620331950237,31.886774533745662
SMAP-19,91.87240663900711,31.886774533745662
SMAP-20,91.8827800829905,31.886774533745662
SMAP-21,91.8931535269739,31.886774533745662
SMAP-22,91.90352697095732,31.886774533745662
SMAP-23,91.91390041494071,31.886774533745662
SMAP-24,91.92427385892411,31.886774533745662
SMAP-25,91.9346473029075,31.886774533745662
SMAP-26,91.9450207468909,31.886774533745662
SMAP-27,91.95539419087432,31.886774533745662
SMAP-28,91.9657676348577,31.886774533745662
SMAP-29,91.97614107884111,31.886774533745662
SMAP-30,91.9865145228245,31.886774533745662
SMAP-31,91.99688796680792,31.886774533745662
SMAP-32,92.00726141079133,31.886774533745662
SMAP-33,92.01763485477473,31.886774533745662
SMAP-34,92.02800829875814,31.886774533745662
SMAP-35,92.03838174274154,31.886774533745662
SMAP-36,92.04875518672495,31.886774533745662
SMAP-37,92.05912863070836,31.886774533745662
SMAP-38,92.06950207469175,31.886774533745662
SMAP-39,92.07987551867517,31.886774533745662
SMAP-40,92.09024896265855,31.886774533745662
SMAP-41,92.10062240664196,31.886774533745662
SMAP-42,92.11099585062534,31.886774533745662
SMAP-43,92.12136929460875,31.886774533745662
SMAP-44,92.13174273859217,31.886774533745662
SMAP-45,92.14211618257556,31.886774533745662
SMAP-46,92.15248962655897,31.886774533745662
SMAP-47,92.16286307054237,31.886774533745662
SMAP-48,92.17323651452577,31.886774533745662
SMAP-49,92.18360995850917,31.886774533745662
SMAP-50,92.19398340249256,31.886774533745662
SMAP-51,92.20435684647597,31.886774533745662
SMAP-52,92.21473029045937,31.886774533745662
SMAP-53,92.22510373444278,31.886774533745662
SMAP-54,92.2354771784262,31.886774533745662
SMAP-55,92.24585062240959,31.886774533745662
SMAP-56,92.256224066393,31.886774533745662
SMAP-57,92.26659751037641,31.886774533745662
SMAP-58,92.27697095435981,31.886774533745662
SMAP-59,92.28734439834318,31.886774533745662
SMAP-60,92.29771784232659,31.886774533745662
SMAP-61,92.30809128631,31.886774533745662
SMAP-62,92.3184647302934,31.886774533745662
SMAP-63,92.32883817427681,31.886774533745662
SMAP-64,92.33921161826022,31.886774533745662
SMAP-65,92.34958506224362,31.886774533745662
SMAP-66,92.35995850622703,31.886774533745662
SMAP-67,92.37033195021043,31.886774533745662
SMAP-68,92.38070539419382,31.886774533745662
SMAP-69,92.39107883817722,31.886774533745662
SMAP-70,92.40145228216062,31.886774533745662
SMAP-71,92.41182572614403,31.886774533745662
SMAP-72,92.42219917012743,31.886774533745662
SMAP-73,92.43257261411084,31.886774533745662
SMAP-74,92.44294605809425,31.886774533745662
SMAP-75,91.68568464730585,31.87756944740214
SMAP-76,91.69605809128926,31.87756944740214
SMAP-77,91.70643153527266,31.87756944740214
SMAP-78,91.71680497925605,31.87756944740214
SMAP-79,91.72717842323947,31.87756944740214
SMAP-80,91.73755186722286,31.87756944740214
SMAP-81,91.74792531120627,31.87756944740214
SMAP-82,91.75829875518967,31.87756944740214
SMAP-83,91.76867219917305,31.87756944740214
SMAP-84,91.77904564315645,31.87756944740214
SMAP-85,91.78941908713986,31.87756944740214
SMAP-86,91.79979253112327,31.87756944740214
SMAP-87,91.81016597510667,31.87756944740214
SMAP-88,91.82053941909008,31.87756944740214
SMAP-89,91.83091286307348,31.87756944740214
SMAP-90,91.84128630705689,31.87756944740214
SMAP-91,91.8516597510403,31.87756944740214
SMAP-92,91.8620331950237,31.87756944740214
SMAP-93,91.87240663900711,31.87756944740214
SMAP-94,91.8827800829905,31.87756944740214
SMAP-95,91.8931535269739,31.87756944740214
SMAP-96,91.90352697095732,31.87756944740214
SMAP-97,91.91390041494071,31.87756944740214
SMAP-98,91.92427385892411,31.87756944740214
SMAP-99,91.9346473029075,31.87756944740214
SMAP-100,91.9450207468909,31.87756944740214
SMAP-101,91.95539419087432,31.87756944740214
SMAP-102,91.9657676348577,31.87756944740214
SMAP-103,91.97614107884111,31.87756944740214
SMAP-104,91.9865145228245,31.87756944740214
SMAP-105,91.99688796680792,31.87756944740214
SMAP-106,92.00726141079133,31.87756944740214
SMAP-107,92.01763485477473,31.87756944740214
SMAP-108,92.02800829875814,31.87756944740214
SMAP-109,92.03838174274154,31.87756944740214
SMAP-110,92.04875518672495,31.87756944740214
SMAP-111,92.05912863070836,31.87756944740214
SMAP-112,92.06950207469175,31.87756944740214
SMAP-113,92.07987551867517,31.87756944740214
SMAP-114,92.09024896265855,31.87756944740214
SMAP-115,92.10062240664196,31.87756944740214
SMAP-116,92.11099585062534,31.87756944740214
SMAP-117,92.12136929460875,31.87756944740214
SMAP-118,92.13174273859217,31.87756944740214
SMAP-119,92.14211618257556,31.87756944740214
SMAP-120,92.15248962655897,31.87756944740214
SMAP-121,92.16286307054237,31.87756944740214
SMAP-122,92.17323651452577,31.87756944740214
SMAP-123,92.18360995850917,31.87756944740214
SMAP-124,92.19398340249256,31.87756944740214
SMAP-125,92.20435684647597,31.87756944740214
SMAP-126,92.21473029045937,31.87756944740214
SMAP-127,92.22510373444278,31.87756944740214
SMAP-128,92.2354771784262,31.87756944740214
SMAP-129,92.24585062240959,31.87756944740214
SMAP-130,92.256224066393,31.87756944740214
SMAP-131,92.26659751037641,31.87756944740214
SMAP-132,92.27697095435981,31.87756944740214
SMAP-133,92.28734439834318,31.87756944740214
SMAP-134,92.29771784232659,31.87756944740214
SMAP-135,92.30809128631,31.87756944740214
SMAP-136,92.3184647302934,31.87756944740214
SMAP-137,92.32883817427681,31.87756944740214
SMAP-138,92.33921161826022,31.87756944740214
SMAP-139,92.34958506224362,31.87756944740214
SMAP-140,92.35995850622703,31.87756944740214
SMAP-141,92.37033195021043,31.87756944740214
SMAP-142,92.38070539419382,31.87756944740214
SMAP-143,92.39107883817722,31.87756944740214
SMAP-144,92.40145228216062,31.87756944740214
SMAP-145,92.41182572614403,31.87756944740214
SMAP-146,92.42219917012743,31.87756944740214
SMAP-147,92.43257261411084,31.87756944740214
SMAP-148,92.44294605809425,31.87756944740214
SMAP-149,91.68568464730585,31.86836526289686
SMAP-150,91.69605809128926,31.86836526289686
SMAP-151,91.70643153527266,31.86836526289686
SMAP-152,91.71680497925605,31.86836526289686
SMAP-153,91.72717842323947,31.86836526289686
SMAP-154,91.73755186722286,31.86836526289686
SMAP-155,91.74792531120627,31.86836526289686
SMAP-156,91.75829875518967,31.86836526289686
SMAP-157,91.76867219917305,31.86836526289686
SMAP-158,91.77904564315645,31.86836526289686
SMAP-159,91.78941908713986,31.86836526289686
SMAP-160,91.79979253112327,31.86836526289686
SMAP-161,91.81016597510667,31.86836526289686
SMAP-162,91.82053941909008,31.86836526289686
SMAP-163,91.83091286307348,31.86836526289686
SMAP-164,91.84128630705689,31.86836526289686
SMAP-165,91.8516597510403,31.86836526289686
SMAP-166,91.8620331950237,31.86836526289686
SMAP-167,91.87240663900711,31.86836526289686
SMAP-168,91.8827800829905,31.86836526289686
SMAP-169,91.8931535269739,31.86836526289686
SMAP-170,91.90352697095732,31.86836526289686
SMAP-171,91.91390041494071,31.86836526289686
SMAP-172,91.92427385892411,31.86836526289686
SMAP-173,91.9346473029075,31.86836526289686
SMAP-174,91.9450207468909,31.86836526289686
SMAP-175,91.95539419087432,31.86836526289686
SMAP-176,91.9657676348577,31.86836526289686
SMAP-177,91.97614107884111,31.86836526289686
SMAP-178,91.9865145228245,31.86836526289686
SMAP-179,91.99688796680792,31.86836526289686
SMAP-180,92.00726141079133,31.86836526289686
SMAP-181,92.01763485477473,31.86836526289686
SMAP-182,92.02800829875814,31.86836526289686
SMAP-183,92.03838174274154,31.86836526289686
SMAP-184,92.04875518672495,31.86836526289686
SMAP-185,92.05912863070836,31.86836526289686
SMAP-186,92.06950207469175,31.86836526289686
SMAP-187,92.07987551867517,31.86836526289686
SMAP-188,92.09024896265855,31.86836526289686
SMAP-189,92.10062240664196,31.86836526289686
SMAP-190,92.11099585062534,31.86836526289686
SMAP-191,92.12136929460875,31.86836526289686
SMAP-192,92.13174273859217,31.86836526289686
SMAP-193,92.14211618257556,31.86836526289686
