station_id,lon,lat
BC02,92.36833333333334,31.07333333333333
BC03,92.30833333333334,31.106666666666666
BC05,92.19666666666669,31.171666666666667
BC06,92.165,31.231666666666666
C1,91.77,31.683333333333334
F4,91.77333333333333,31.69833333333333
F5,91.78666666666666,31.69333333333333
MS3494,91.75,31.805
MS3518,91.795,31.661666666666665
MS3533,91.79333333333334,31.586666666666662
MS3603,91.8,31.258333333333333
MS3627,91.68833333333332,31.08833333333333
MSNQRW,92.01666666666668,31.46333333333333
P10,91.845,31.808333333333334
