ratio_label,observed_count,holdout_count,strategy,overall_mae_mean,overall_rmse_mean,overall_r2_mean,overall_mae_std,overall_rmse_std,overall_r2_std
1:6,5,30,pmts,0.0781676,0.0955014,0.40654520000000005,0.014595604373920245,0.01191790202342677,0.15100319003968096
2:5,10,25,pmts,0.059390200000000004,0.078815,0.581597,0.004658033078457043,0.006905541919357236,0.0650005695267357
3:4,15,20,pmts,0.054344,0.0722222,0.6426722,0.0031489008876114215,0.005261998836944001,0.021688670124283795
4:3,20,15,pmts,0.0504876,0.06664,0.6879814,0.004719680904468014,0.006102501323228041,0.033455303768460974
5:2,25,10,pmts,0.0579402,0.074397,0.6772432,0.010830082832554882,0.012901845340880506,0.07013975686698665
6:1,30,5,pmts,0.042019600000000004,0.054583400000000004,0.792528,0.007961320207101332,0.010267089920712685,0.02186009870974965
