window,t_len,seed,overall_mae,overall_rmse,overall_r2,stability_std,extreme_mae,extreme_rmse,file_time,checkpoint_dir,analysis_dir
1,2,3,0.05063,0.059619,0.747264,0.05791022740062006,0.0564380440240105,0.06668714192684243,20260510T112846,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T112846,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T112846/analysis
2,4,3,0.049534,0.060937,0.735958,0.06080714937448899,0.05905537758034357,0.06743672360283226,20260510T114841,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T114841,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T114841/analysis
4,8,3,0.052188,0.061775,0.728621,0.060925622151489014,0.06288859628535726,0.0725522142756566,20260510T120802,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T120802,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T120802/analysis
6,12,3,0.054808,0.067782,0.673245,0.06374260715212801,0.06928222400424573,0.08322265742743236,20260510T122822,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T122822,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T122822/analysis
8,16,3,0.047642,0.059522,0.748016,0.05806709293922038,0.051617924233669066,0.0611951954785025,20260510T125006,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T125006,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T125006/analysis
10,20,3,0.051352,0.062148,0.725266,0.059805547524224366,0.06219847161358661,0.07315733019399322,20260510T131152,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T131152,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T131152/analysis
12,24,3,0.051091,0.063236,0.715534,0.0625223315766348,0.060550029534683567,0.06914202553052744,20260510T133424,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T133424,/root/autodl-tmp/over/STGNP/checkpoints/SM_timeWindow/SM/hierarchical_SM_20260510T133424/analysis
