window,t_len,overall_mae_mean,overall_rmse_mean,overall_r2_mean,stability_std_mean,extreme_mae_mean,extreme_rmse_mean,overall_mae_std,overall_rmse_std,overall_r2_std,stability_std_std,extreme_mae_std,extreme_rmse_std
1,2,0.05063,0.059619,0.747264,0.05791022740062006,0.0564380440240105,0.06668714192684243,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.049534,0.060937,0.735958,0.06080714937448899,0.05905537758034357,0.06743672360283226,0.0,0.0,0.0,0.0,0.0,0.0
4,8,0.052188,0.061775,0.728621,0.060925622151489014,0.06288859628535726,0.0725522142756566,0.0,0.0,0.0,0.0,0.0,0.0
6,12,0.054808,0.067782,0.673245,0.06374260715212801,0.06928222400424573,0.08322265742743236,0.0,0.0,0.0,0.0,0.0,0.0
8,16,0.047642,0.059522,0.748016,0.05806709293922038,0.051617924233669066,0.0611951954785025,0.0,0.0,0.0,0.0,0.0,0.0
10,20,0.051352,0.062148,0.725266,0.059805547524224366,0.06219847161358661,0.07315733019399322,0.0,0.0,0.0,0.0,0.0,0.0
12,24,0.051091,0.063236,0.715534,0.0625223315766348,0.060550029534683567,0.06914202553052744,0.0,0.0,0.0,0.0,0.0,0.0
